Department,Specialization
Chemical Engineering,Energy Conservation and Recovery
Chemical Engineering,Petrochemical Technology
Chemical Engineering,Distillation Applications of MATLAB
Chemical Engineering,Petroleum Refinery Engineering
Chemical Engineering,Computational Techniques
Chemical Engineering,Project Management and Smart Technology
Civil Engineering,Transportation Engineering
Civil Engineering,Remote Sensing and GIS
Civil Engineering,Geotechnical Engineering
Civil Engineering,Hydraulics
Civil Engineering,Town and Urban Planning
Civil Engineering,Structural Engineering
Civil Engineering,Environmental Engineering
Civil Engineering,Construction Management
Computer Science Engineering,Software Engineering
Computer Science Engineering,Artificial Intelligence
Computer Science Engineering,Network Engineering
Computer Science Engineering,Computer Graphics
Computer Science Engineering,Data Science
Computer Science Engineering,Programming Languages
Computer Science Engineering,Databases
CSE (AI & ML),IoT
CSE (AI & ML),Healthcare Applications and Game Designing
CSE (AI & ML),Computer Vision
CSE (AI & ML),Artificial Intelligence
CSE (AI & ML),Human Computer Interface
CSE (AI & ML),Blockchain Technology
CSE (Data Science),IoT
CSE (Data Science),Recommendation Systems
CSE (Data Science),Business Analytics
CSE (Data Science),Cyber Forensics
CSE (Data Science),Computer Vision
CSE (Data Science),E-Commerce and Marketing
Electronics & Telecommunication,Embedded System
Electronics & Telecommunication,Communication Systems
Electronics & Telecommunication,Signal Processing
Electronics & Telecommunication,VLSI & Embedded System
Electronics & Telecommunication,Digital Electronics
Mechanical Engineering,Manufacturing Processes
Mechanical Engineering,Power Engineering
Mechanical Engineering,Thermal Engineering
Mechanical Engineering,Fluid Mechanics and Machineries
Mechanical Engineering,Machine Design
Mechanical Engineering,Mechatronics and Automation
Architecture,Urban Design
Architecture,Green Building
Architecture,Interior Design
Architecture,Landscape Design
Architecture,Digital Architecture
Architecture,Parametric Architecture
Architecture,Affordable Housing
